user_id,item_id,rating,timestamp
2649378,931,3.0,10236381
2649378,3309,3.0,10236382
2649378,3309,4.0,10236383
2649379,607,5.0,10190869
2649379,1833,2.0,10190870
2649379,1865,3.0,10190871
2649379,1865,4.0,10190872
2649380,2848,5.0,10832008
2649380,1202,5.0,10832009
2649380,1202,4.0,10832010
2649381,2352,3.0,10940818
2649381,406,3.0,10940819
2649381,406,4.0,10940820
2649382,3605,5.0,10258885
2649382,1865,5.0,10258886
2649382,30,2.0,10258887
2649382,1243,4.0,10258888
2649382,1243,4.0,10258889
2649383,2617,2.0,10073720
2649383,4432,3.0,10073721
2649383,2457,3.0,10073722
2649383,2457,3.0,10073723
2649384,3605,4.0,10426000
2649384,3684,4.0,10426001
2649384,3684,4.0,10426002
2649385,2594,1.0,9935198
2649385,3153,4.0,9935199
2649385,3153,5.0,9935200
2649386,2360,5.0,10516520
2649386,426,3.0,10516521
2649386,426,4.0,10516522
2649387,3290,3.0,10785527
2649387,2612,2.0,10785528
2649387,2612,4.0,10785529
2649388,1428,4.0,11071143
2649388,1220,2.0,11071144
2649388,1220,3.0,11071145
2649389,4043,4.0,10276813
2649389,1336,3.0,10276814
2649389,1336,4.0,10276815
2649390,4266,4.0,9595705
2649390,3463,3.0,9595706
2649390,273,3.0,9595707
2649390,273,4.0,9595708
2649391,199,3.0,10792482
2649391,1877,5.0,10792483
2649391,3197,4.0,10792484
2649391,3197,5.0,10792485
2649392,2955,3.0,10612101
2649392,223,4.0,10612102
2649392,223,4.0,10612103
2649393,3368,4.0,10212923
2649393,3333,3.0,10212924
2649393,3333,4.0,10212925
2649394,4356,2.0,11186150
2649394,1637,2.0,11186151
2649394,2200,3.0,11186152
2649394,4266,4.0,11186153
2649394,4266,4.0,11186154
2649395,2499,2.0,9586478
2649395,4356,4.0,9586479
2649395,4356,4.0,9586480
2649396,2612,1.0,10207428
2649396,331,4.0,10207429
2649396,638,3.0,10207430
2649396,4306,4.0,10207431
2649396,4306,3.0,10207432
2649397,962,4.0,9479985
2649397,3624,2.0,9479986
2649397,3624,4.0,9479987
2649398,1102,3.0,9476392
2649398,483,4.0,9476393
2649398,483,4.0,9476394
2649399,4171,3.0,10325750
2649399,1925,3.0,10325751
2649399,1925,4.0,10325752
2649400,4262,3.0,11209097
2649400,1543,3.0,11209098
2649400,1543,4.0,11209099
2649401,2955,3.0,10613415
2649401,2452,5.0,10613416
2649401,2452,4.0,10613417
2649402,1180,3.0,10028112
2649402,1066,4.0,10028113
2649402,401,3.0,10028114
2649402,361,4.0,10028115
2649402,361,4.0,10028116
2649403,2922,4.0,10772279
2649403,1962,3.0,10772280
2649403,2905,3.0,10772281
2649403,2905,4.0,10772282
2649404,2452,5.0,10826041
2649404,2178,4.0,10826042
2649404,2178,4.0,10826043
2649405,483,3.0,11003139
2649405,3427,4.0,11003140
2649405,3427,5.0,11003141
2649406,2861,5.0,11341768
2649406,1728,5.0,11341769
2649406,1728,5.0,11341770
2649407,2290,5.0,9564436
2649407,674,5.0,9564437
2649407,1502,5.0,9564438
2649407,1502,4.0,9564439
2649408,1542,3.0,10951185
2649408,295,4.0,10951186
2649408,295,4.0,10951187
2649409,3254,3.0,10424212
2649409,3153,5.0,10424213
2649409,3153,4.0,10424214
2649410,1145,2.0,9622167
2649410,3466,5.0,9622168
2649410,1878,4.0,9622169
2649410,1878,3.0,9622170
2649411,2112,2.0,9878003
2649411,1098,2.0,9878004
2649411,1098,4.0,9878005
2649412,985,4.0,10692252
2649412,886,5.0,10692253
2649412,1578,3.0,10692254
2649412,1578,4.0,10692255
2649413,2953,3.0,10400135
2649413,252,3.0,10400136
2649413,252,4.0,10400137
2649414,312,3.0,10854648
2649414,3225,3.0,10854649
2649414,3225,4.0,10854650
2649415,1202,2.0,10707208
2649415,1024,4.0,10707209
2649415,1024,3.0,10707210
2649416,2922,4.0,10529019
2649416,2660,4.0,10529020
2649416,2660,4.0,10529021
2649417,2348,3.0,10122085
2649417,734,1.0,10122086
2649417,734,5.0,10122087
2649418,2112,4.0,9721992
2649418,1220,4.0,9721993
2649418,1220,5.0,9721994
2649419,483,4.0,11014390
2649419,833,4.0,11014391
2649419,833,4.0,11014392
2649420,3962,5.0,10077206
2649420,2942,5.0,10077207
2649420,2942,5.0,10077208
2649421,2034,1.0,10859738
2649421,2114,2.0,10859739
2649421,3394,3.0,10859740
2649421,3394,4.0,10859741
2649422,3267,4.0,9706902
2649422,3165,4.0,9706903
2649422,2360,3.0,9706904
2649422,2342,4.0,9706905
2649422,2342,4.0,9706906
2649423,1467,4.0,10415841
2649423,3782,3.0,10415842
2649423,3782,4.0,10415843
2649424,1571,4.0,10074104
2649424,1792,4.0,10074105
2649424,8,3.0,10074106
2649424,8,4.0,10074107
2649425,798,4.0,11253504
2649425,413,3.0,11253505
2649425,2874,3.0,11253506
2649425,4432,3.0,11253507
2649425,3689,3.0,11253508
2649425,3689,4.0,11253509
2649426,3938,5.0,10201832
2649426,1646,3.0,10201833
2649426,4302,4.0,10201834
2649426,4302,4.0,10201835
2649427,3526,1.0,10393735
2649427,2874,3.0,10393736
2649427,2548,5.0,10393737
2649427,2548,4.0,10393738
2649428,331,5.0,10704696
2649428,3151,5.0,10704697
2649428,3151,5.0,10704698
2649429,3591,4.0,10839547
2649429,1589,2.0,10839548
2649429,1589,4.0,10839549
2649430,564,4.0,10370819
2649430,3013,4.0,10370820
2649430,1104,3.0,10370821
2649430,1788,3.0,10370822
2649430,1788,4.0,10370823
2649431,708,3.0,10197207
2649431,3410,4.0,10197208
2649431,3410,4.0,10197209
2649432,564,3.0,9709275
2649432,1110,4.0,9709276
2649432,1110,4.0,9709277
2649433,241,4.0,10666301
2649433,4248,4.0,10666302
2649433,4248,4.0,10666303
2649434,3626,4.0,10354728
2649434,4227,5.0,10354729
2649434,483,3.0,10354730
2649434,483,4.0,10354731
2649435,1918,3.0,9861489
2649435,2372,3.0,9861490
