user_id,item_id,rating,timestamp
100,242,4,878672277
100,171,5,878672278
100,111,5,878672279
100,256,4,878672280
100,256,5,878672281
101,132,4,891306592
101,33,3,891306593
101,699,4,891306594
101,499,4,891306595
101,499,4,891306596
102,1236,5,883039884
102,348,3,883039885
102,1237,4,883039886
102,1237,4,883039887
103,288,3,878923191
103,125,4,878923192
103,546,3,878923193
103,866,2,878923194
103,866,4,878923195
104,476,4,889132294
104,384,3,889132295
104,409,3,889132296
104,577,3,889132297
104,167,4,889132298
104,856,3,889132299
104,1052,3,889132300
104,1052,4,889132301
105,98,4,875647231
105,69,5,875647232
105,487,4,875647233
105,96,4,875647234
105,204,5,875647235
105,204,4,875647236
106,1016,4,885175146
106,147,3,885175147
106,121,4,885175148
106,405,1,885175149
106,825,2,885175150
106,827,2,885175151
106,840,3,885175152
106,840,4,885175153
107,752,2,888922774
107,748,3,888922775
107,327,4,888922776
107,264,3,888922777
107,343,4,888922778
107,343,5,888922779
108,828,4,875063531
108,107,5,875063532
108,244,4,875063533
108,275,4,875063534
108,313,4,875063535
108,313,4,875063536
109,264,4,880916738
109,259,2,880916739
109,325,2,880916740
109,325,4,880916741
110,405,4,876628804
110,121,4,876628805
110,931,4,876628806
110,931,4,876628807
111,545,3,885862025
111,715,3,885862026
111,1157,5,885862027
111,395,2,885862028
111,452,4,885862029
111,452,4,885862030
112,739,5,890057421
112,747,4,890057422
112,51,2,890057423
112,51,3,890057424
113,67,3,875020786
113,1249,4,875020787
113,364,3,875020788
113,364,4,875020789
114,311,5,880903713
114,321,3,880903714
114,286,4,880903715
114,326,5,880903716
114,896,4,880903717
114,896,5,880903718
115,315,5,881249776
115,347,4,881249777
115,354,5,881249778
115,346,4,881249779
115,346,4,881249780
116,127,3,889955669
116,325,5,889955670
116,595,3,889955671
116,595,4,889955672
117,195,3,874976699
117,191,4,874976700
117,210,4,874976701
117,171,5,874976702
117,527,4,874976703
117,153,3,874976704
117,156,2,874976705
117,156,4,874976706
118,511,3,880523548
118,82,3,880523549
118,4,4,880523550
118,96,5,880523551
118,177,5,880523552
118,177,4,880523553
119,896,3,882609301
119,902,3,882609302
119,903,4,882609303
119,303,3,882609304
119,303,3,882609305
119,916,2,882609306
119,916,4,882609307
120,298,4,879927060
120,1014,4,879927061
120,410,5,879927062
120,122,4,879927063
120,122,5,879927064
121,641,5,879453585
121,258,5,879453586
121,234,5,879453587
121,1079,5,879453588
121,1079,5,879453589
122,451,4,880579610
122,995,4,880579611
122,1265,5,880579612
122,269,3,880579613
122,294,5,880579614
122,917,5,880579615
122,917,4,880579616
123,97,4,891811991
123,204,4,891811992
123,402,4,891811993
123,318,5,891811994
123,242,5,891811995
123,242,4,891811996
124,546,4,875952294
124,257,5,875952295
124,117,4,875952296
124,117,4,875952297
125,411,4,878899303
125,405,4,878899304
125,235,3,878899305
125,472,5,878899306
125,717,5,878899307
125,717,5,878899308
126,470,5,882325734
126,1074,4,882325735
126,1168,3,882325736
126,1168,4,882325737
127,276,4,877940865
127,255,5,877940866
127,13,5,877940867
127,13,4,877940868
128,173,3,892859428
128,1,3,892859429
128,98,3,892859430
128,157,3,892859431
128,96,5,892859432
